category id,category url,SKU,Sort
478,hot-sellers,F17-VRTEXFNP182,1
478,hot-sellers,F17-EXDFNP2005,2
478,hot-sellers,CAKE8632,3
478,hot-sellers,F17-EXDFNP545,4
478,hot-sellers,F17-EXFNP29,5
478,hot-sellers,EXP14123,6
478,hot-sellers,F17-EXDFNPLW14,7
478,hot-sellers,F17-EXDFNP541,8
478,hot-sellers,F17-EXDFNP419,9
478,hot-sellers,EXFNP202_CHOCO_BOQ,10
478,hot-sellers,CAKE00115,11
478,hot-sellers,CAKE9330,12
478,hot-sellers,CAKE42394,13
478,hot-sellers,CAKE8450,14
478,hot-sellers,CAKE9801,15
478,hot-sellers,CAKE8626,16
478,hot-sellers,CAKE9796,17
478,hot-sellers,F17-EXDPLANT1,18
478,hot-sellers,F17-VRTEXFNP183,19
478,hot-sellers,F17-EXDPLANT32,20
478,hot-sellers,F17-EXDFNP2014,21
478,hot-sellers,EXFNP213_CHOCO_BOQ,22
478,hot-sellers,GIFTSFNP4606,23
478,hot-sellers,GIFTSFNP2048,24
478,hot-sellers,GIFTSFNP4596,25
478,hot-sellers,GIFTSFNP62,26
478,hot-sellers,GIFTSFNP4602,27
