Product ID,Product SKU,Egg/Eggless,Variants
1415,CAKE9791,"CAKE9791,CAKE11756","CAKE9796,CAKE9792,CAKE9791"
1413,CAKE11756,"CAKE9791,CAKE11756","CAKE11754,CAKE11757,CAKE11756"
1417,CAKE9796,"CAKE9796,CAKE11754","CAKE9796,CAKE9792,CAKE9791"
1412,CAKE11754,"CAKE9796,CAKE11754","CAKE11754,CAKE11757,CAKE11756"
1118,CAKE6049,"CAKE6049,CAKE12532","CAKE6048,CAKE6049,CAKE6056"
1119,CAKE12532,"CAKE6049,CAKE12532","CAKE12537,CAKE12532,CAKE12533"
1120,CAKE6056,"CAKE6056,CAKE12533","CAKE6048,CAKE6049,CAKE6056"
1121,CAKE12533,"CAKE6056,CAKE12533","CAKE12537,CAKE12532,CAKE12533"
1122,CAKE6048,"CAKE6048,CAKE12537","CAKE6048,CAKE6049,CAKE6056"
1123,CAKE12537,"CAKE6048,CAKE12537","CAKE12537,CAKE12532,CAKE12533"
1515,CAKE41972,"CAKE41972,CAKE41947","CAKE41971,CAKE41972,CAKE41969"
1518,CAKE41947,"CAKE41972,CAKE41947","CAKE41970,CAKE41947,CAKE41945"
1516,CAKE41969,"CAKE41969,CAKE41945","CAKE41971,CAKE41972,CAKE41969"
1519,CAKE41945,"CAKE41969,CAKE41945","CAKE41970,CAKE41947,CAKE41945"
1514,CAKE41971,"CAKE41971,CAKE41970","CAKE41971,CAKE41972,CAKE41969"
1517,CAKE41970,"CAKE41971,CAKE41970","CAKE41970,CAKE41947,CAKE41945"
1490,CAKE42332,"CAKE42332,CAKE42335","CAKE42331,CAKE42332,CAKE42329"
1491,CAKE42335,"CAKE42332,CAKE42335","CAKE42330,CAKE42335,CAKE42323"
1492,CAKE42329,"CAKE42329,CAKE42323","CAKE42331,CAKE42332,CAKE42329"
1493,CAKE42323,"CAKE42329,CAKE42323","CAKE42330,CAKE42335,CAKE42323"
1494,CAKE42331,"CAKE42331,CAKE42330","CAKE42331,CAKE42332,CAKE42329"
1495,CAKE42330,"CAKE42331,CAKE42330","CAKE42330,CAKE42335,CAKE42323"
1422,CAKE9800,"CAKE9800,CAKE11761","CAKE9801,CAKE9800,CAKE9795"
1419,CAKE11761,"CAKE9800,CAKE11761","CAKE11763,CAKE11761,CAKE11755"
1421,CAKE9795,"CAKE9795,CAKE11755","CAKE9801,CAKE9800,CAKE9795"
1418,CAKE11755,"CAKE9795,CAKE11755","CAKE11763,CAKE11761,CAKE11755"
1423,CAKE9801,"CAKE9801,CAKE11763","CAKE9801,CAKE9800,CAKE9795"
1420,CAKE11763,"CAKE9801,CAKE11763","CAKE11763,CAKE11761,CAKE11755"
1186,CAKE8126,"CAKE8126,CAKE11152","CAKE8114,CAKE8126"
1187,CAKE11152,"CAKE8126,CAKE11152","CAKE11150,CAKE11152"
1188,CAKE8114,"CAKE8114,CAKE11150","CAKE8114,CAKE8126"
1189,CAKE11150,"CAKE8114,CAKE11150","CAKE11150,CAKE11152"
1496,CAKE42371,"CAKE42371,CAKE42370","CAKE42367,CAKE42371,CAKE42372"
1497,CAKE42370,"CAKE42371,CAKE42370","CAKE42369,CAKE42370,CAKE42374"
1498,CAKE42372,"CAKE42372,CAKE42374","CAKE42367,CAKE42371,CAKE42372"
