Categories in Header,Sub-Categories Under Non-Clickable Name,Sub-Categories,Sub-Categories URL's
,,Grand Parents Day,grand-parents-day
,,Boss's Day,bosss-day-16th-oct
,,Halloween Cakes,halloween-cakes
,,Diwali,diwali
,,Christmas Cakes,christmas
,,New Year,new-year-1st-jan
,,Republic Day,republic-day-cake
,,Lohri,lohri-cakes
,,Valentine's Day,valentines-day
,,Womens Day,womens-day
,,Mother's Day,mothers-day
,Private Occasions,Bachelor Party,bachelorette-cake
,,Wedding Cakes,wedding
,,Engagement Cakes,engagement-cakes
,,Retirement Cake,retirement-cakes
,,Farewell Cake,farewell-cakes
,,Bride To Be,bride-to-be
,,Baby Shower,baby-shower-cakes
,,Mom To Be,mom-to-be-cakes
,,Party Cakes,party
,,Just Like That,just-like-that
,,Romance Cakes,i-love-you
,,Congratulations,congratulations
,,Thank You,thank-you
Trending Cakes,Best Sellers,Pinata Cakes,pinata-cakes
,,Comic Theme Cakes,comic-cakes
,,Balloon Cakes,balloon-cakes
,,Fault Line Cakes,fault-line-cake
,,Isomalt Cakes,isomalt-cakes
,,Surprise Box,surprise-cake-box
,,Bomb Cakes,bomb-cake
,,Anti Gravity Cakes,anti-gravity-cakes
,,Pulll Me Up Cakes,pull-me-up-cake
,,Bento Cakes,bento-cakes
,,Photo Pulling Cakes,photo-pulling-cakes
,Other Gifts,Balloon Decoration ,balloon-decorations
,,Jar Cake,cake-in-a-jar
,,Patries,pastries
,,Plants,gifts/plants
,,Gourmet Hampers,gifts/gourmet-hampers
,,Chocolate Bouquet,gifts/chocolate-bouquet
,,Flowers,gifts/flowers
