City ID,Category Name,Products
10545,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10545,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10545,Soft Toys,adon10|ADDONFG21
10545,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10545,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10546,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10546,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10546,Soft Toys,adon10|ADDONFG21
10546,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10546,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10547,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10547,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10547,Soft Toys,adon10|ADDONFG21
10547,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10547,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10548,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10548,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10548,Soft Toys,adon10|ADDONFG21
10548,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10548,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10549,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10549,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10549,Soft Toys,adon10|ADDONFG21
10549,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10549,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10550,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10550,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10550,Soft Toys,adon10|ADDONFG21
10550,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10550,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10551,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10551,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10551,Soft Toys,adon10|ADDONFG21
10551,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10551,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10552,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
